0,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_29,1_30,1_31,1_32,1_33,1_34,1_35,1_36,1_37,1_38,1_39,1_40,1_41,1_42,1_43,1_44,1_45,1_46,1_47,1_48,1_49,1_50,1_51
[illustration] [blazon or coat of arms],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrush,1.0,1.0,,3.0,,,1.0,3.0,,4.0,,,,1.0,,,3,,,,,1.0,,,1.0,5.0,3.0,6.0,1.0,1.0,5.0,2.0,4.0,3.0,6.0,3.0,3.0,6.0,5.0,3.0,2.0,1.0,2.0,,2.0,2.0,1.0,,,3.0,1.0,
Tissick,3.0,5.0,12.0,15.0,21,,9.0,16.0,12.0,15.0,18.0,15.0,10.0,11.0,10,8.0,â€¢,,3.0,2.0,3.0,3.0,2.0,2.0,1.0,,2.0,5.0,2.0,3.0,1.0,,,6.0,9.0,3.0,6.0,4.0,11.0,5.0,3.0,4.0,7.0,3.0,3.0,1.0,2.0,4.0,3.0,1.0,3.0,4.0
Winde,1.0,3.0,2.0,5.0,4,3.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2,3.0,,1.0,4.0,1.0,3.0,,2.0,,3.0,2.0,3.0,2.0,3.0,2.0,1.0,,,8.0,4.0,4.0,3.0,,3.0,1.0,4.0,5.0,2.0,1.0,,2.0,1.0,1.0,2.0,,1.0,1.0
Wormes,2.0,,,2.0,2,1.0,3.0,4.0,1.0,2.0,5.0,1.0,3.0,2.0,,2.0,1,1.0,2.0,1.0,4.0,1.0,4.0,1.0,1.0,12.0,4.0,9.0,5.0,10.0,9.0,11.0,18.0,18.0,20.0,23.0,25.0,15.0,15.0,12.0,13.0,11.0,10.0,8.0,2.0,5.0,7.0,1.0,3.0,3.0,4.0,1.0
"Drowned 2, one at St. Magdaâˆ£len Bermondsey, and one at St. Clement Danes",,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flux,,1.0,4.0,2.0,3,5.0,2.0,2.0,3.0,2.0,,2.0,,3.0,2,,2,5.0,1.0,,,1.0,,2.0,1.0,,1.0,4.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,2.0,1.0,,2.0,
Gangrene,,1.0,,,,,1.0,,,,,1.0,,1.0,,2.0,,1.0,2.0,,,,,1.0,1.0,,,2.0,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,
Imposthume,,1.0,1.0,2.0,2,3.0,6.0,1.0,1.0,,1.0,1.0,,1.0,4,3.0,4,6.0,1.0,4.0,1.0,2.0,4.0,3.0,4.0,5.0,3.0,7.0,3.0,9.0,6.0,7.0,16.0,18.0,8.0,13.0,10.0,6.0,11.0,8.0,4.0,7.0,10.0,6.0,1.0,2.0,1.0,3.0,5.0,,1.0,1.0
"Killed 2, one at St. Giles in the Fields, and one by a fall from a Mast at St. Mary VVhiteâˆ£chapel",,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measles,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Rupture,,1.0,,,,,,1.0,2.0,,,1.0,,1.0,,,1,,,,,2.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,1.0,4.0,,1.0,1.0,1.0,3.0,1.0,,,,,,,1.0,
Scowring,,2.0,1.0,,2,1.0,,3.0,,,4.0,6.0,1.0,2.0,,,,2.0,,3.0,1.0,2.0,2.0,,1.0,4.0,,4.0,,2.0,8.0,2.0,3.0,13.0,,3.0,6.0,3.0,5.0,,2.0,3.0,5.0,1.0,1.0,1.0,,,1.0,2.0,,
