parish,plague_0,plague_1,plague_2,plague_3,plague_4,plague_5,plague_6,plague_7,plague_8,plague_9,plague_10,plague_11,plague_12,plague_13,plague_14,plague_15,plague_16,plague_17,plague_18,plague_19,plague_20,plague_21,plague_22,plague_23,plague_24,plague_25,plague_26,plague_27,plague_28,plague_29,plague_30,plague_31,plague_32,plague_33,plague_34,plague_35,plague_36,plague_37,plague_38,plague_39,plague_40,plague_41,plague_42,plague_43,plague_44,plague_45,plague_46,plague_47,plague_48,plague_49,plague_50,plague_51
St Michael Queenhithe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,6,11,12,9,6,10,23,3,16,7,5,1,3,2,,,,5
St Michael Quern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,2,3,3,3,2,,2,,,,,,,,
St Michael Royal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,11,4,10,17,12,17,14,9,3,3,3,2,1,1,1,,1
St Michael Woodstreet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,1,6,8,2,2,5,3,13,3,4,1,3,2,,1,,,
St Mildred Breadstreet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,7,3,1,4,1,3,1,,,1,,,,,
St Mildred Poultrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,3,4,1,7,2,4,2,8,4,1,,3,,1,,,,
St Nicholas Acons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,7,5,3,1,1,1,1,1,3,1,,,,
St Nicholas Coleabby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,,3,8,6,13,14,8,10,7,2,4,4,2,3,,,,
St Nicholas Olave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,6,7,3,9,4,8,7,4,2,3,3,2,1,,,,1
St Olave Hartstreet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,6,4,6,10,13,18,19,11,21,14,4,7,7,7,,,1,6,
St Olave Jewry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,3,5,1,4,2,,2,2,1,,1,,,,1
St Olave Silverstreet,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,3,8,12,15,17,18,12,17,7,4,5,5,4,1,1,,,1,,,
St Olave Southwark,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,2,6,9,25,36,64,114,131,209,264,307,363,324,281,177,141,73,58,67,44,29,18,13,16,12
St Pancras Soperlane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,3,1,4,,1,,,,,1,,,
St Paul Covent Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4,3,5,12,16,7,16,21,16,26,29,18,24,14,9,8,4,3,2,2,2,4,1,2
St Peter Cheap,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,3,4,3,5,3,4,7,3,,1,1,,,,,
St Peter Cornhil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,4,6,1,2,3,6,10,6,5,9,,5,3,3,,2,,,1
St Peter Paulswharf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,7,7,9,12,11,10,11,4,3,1,2,4,,,,,1
St Peter Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,1,2,1,2,6,6,6,7,2,6,,1,2,,,1,,,
St Sepulchres Parish,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Steven Colemanstreet,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,4,7,10,10,11,29,38,31,40,51,38,41,28,10,12,9,13,8,4,1,2,
St Steven Walbrook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,2,2,1,,2,1,1,1,,,,,
St Swithin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,2,1,2,2,2,2,2,9,6,51,4,4,,,1,2,2,,,1,1
St Thomas Apostles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,2,8,6,7,10,7,8,17,5,4,10,4,2,3,4,3,1,,,,
St Thomas Southwark,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,2,6,2,8,4,21,22,33,44,52,36,36,32,23,10,5,8,0,8,,,2,
Stepney Parish,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,33,58,76,136,197,273,442,666,685,686,579,631,593,366,246,165,253,191,103,75,43,38,44
Trinity Minories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,,,5,4,19,10,10,18,21,15,12,2,2,4,3,,,2,,
Trinity Parish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,3,11,13,9,9,12,2,1,5,3,1,2,,,,
Whereof at the Pesthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,,39,12,13,8,12,9,,,4,4,3,2,1,,,,1,1,,
